! sens/instr/sat lev  use pressure gross   obs    b_oz  pg_oz
!                                  error  error variational qc
 sbuv8_n17       18    1  251.000  3.000  1.730 10.000  0.000
 sbuv8_n17       19    1  398.000  3.000  1.667 10.000  0.000
 sbuv8_n17       20    1  631.000  3.000  1.567 10.000  0.000
 sbuv8_n17       21    1 1000.000  3.000  1.408 10.000  0.000
 sbuv8_n17       22    1    0.000 12.000  2.236 10.000  0.000
 sbuv8_n18        1    1    0.100  1.000  1.000 10.000  0.000
 sbuv8_n18        2    1    0.158  1.000  1.000 10.000  0.000
 sbuv8_n18        3    1    0.251  1.000  1.000 10.000  0.000
 sbuv8_n18        4    1    0.398  1.000  1.000 10.000  0.000
 sbuv8_n18        5    1    0.631  1.000  1.000 10.000  0.000
 sbuv8_n18        6    1    1.000  1.000  1.000 10.000  0.000
 sbuv8_n18        7    1    1.580  1.000  1.000 10.000  0.000
 sbuv8_n18        8    1    2.510  1.282  1.000 10.000  0.000
 sbuv8_n18        9    1    3.980  2.051  1.021 10.000  0.000
 sbuv8_n18       10    1    6.310  2.641  1.265 10.000  0.000
 sbuv8_n18       11    1   10.000  3.590  1.358 10.000  0.000
 sbuv8_n18       12    1   15.800  5.052  1.225 10.000  0.000
 sbuv8_n18       13    1   25.100  6.273  1.225 10.000  0.000
 sbuv8_n18       14    1   39.800  7.000  1.423 10.000  0.000
 sbuv8_n18       15    1   63.100  6.940  1.871 10.000  0.000
 sbuv8_n18       16    1  100.000  5.752  1.871 10.000  0.000
 sbuv8_n18       17    1  158.000  4.422  1.831 10.000  0.000
 sbuv8_n18       18    1  251.000  3.000  1.730 10.000  0.000
 sbuv8_n18       19    1  398.000  3.000  1.667 10.000  0.000
 sbuv8_n18       20    1  631.000  3.000  1.567 10.000  0.000
 sbuv8_n18       21    1 1000.000  3.000  1.408 10.000  0.000
 sbuv8_n18       22    1    0.000 12.000  2.236 10.000  0.000
 omi_aura         1   -1    0.000 12.000  2.236 10.000  0.000
